transaction_id,customer_id,amount,currency,transaction_type,channel,merchant_category,device_id,ip_address,location_country,location_city,time,account_age_days,num_prev_transactions_24h,avg_transaction_amount_7d,device_change_rate_30d,is_foreign,is_blacklisted_merchant,fraud_label
TXN_01663,CUST_1829,16537.81,NGN,transfer,ATM,electronics,DEV_04775,197.210.42.20,UK,Accra,2025-10-01 00:07:26,1081,4,3639.3624056244253,0.15,1,0,1
TXN_09452,CUST_0383,7385.21,NGN,withdrawal,ATM,transport,DEV_01602,197.210.212.14,Nigeria,Port Harcourt,2025-10-01 00:14:26,541,5,2736.9227206441706,0.23,0,0,0
TXN_04943,CUST_1072,3452.58,NGN,withdrawal,mobile,clothing,DEV_04383,197.210.253.245,Nigeria,London,2025-10-01 00:14:50,452,3,6863.16482645649,0.37,0,0,0
TXN_06751,CUST_1935,5129.75,NGN,purchase,POS,transport,DEV_02456,197.210.189.136,UK,Port Harcourt,2025-10-01 00:15:29,209,1,1856.1833219074942,0.37,1,0,1
TXN_04369,CUST_1183,-81.72,NGN,withdrawal,web,transport,DEV_01395,197.210.58.38,Ghana,Port Harcourt,2025-10-01 00:18:07,1212,5,5960.07895273992,0.43,1,0,1
TXN_05219,CUST_1457,85.01,NGN,withdrawal,POS,transport,DEV_03664,197.210.228.170,Nigeria,Port Harcourt,2025-10-01 00:20:29,436,6,6475.223674858197,0.37,0,0,0
TXN_06209,CUST_0768,-215.07,NGN,transfer,web,groceries,DEV_03250,197.210.166.180,UK,Port Harcourt,2025-10-01 00:27:53,1296,4,5530.674411677156,0.45,1,0,1
TXN_05107,CUST_0737,1499.25,NGN,transfer,web,electronics,DEV_03776,197.210.64.207,USA,London,2025-10-01 00:33:52,525,4,4534.498897600672,0.24,1,0,0
TXN_00852,CUST_1025,6224.46,NGN,purchase,web,airtime,DEV_02009,197.210.216.231,Ghana,Lagos,2025-10-01 00:34:59,1421,5,4822.704434404604,0.42,1,0,1
TXN_01148,CUST_1805,4862.91,NGN,withdrawal,web,electronics,DEV_04867,197.210.180.242,Nigeria,Accra,2025-10-01 00:35:10,1239,5,4806.6973968146585,0.64,0,0,0
TXN_04753,CUST_1475,969.52,NGN,withdrawal,mobile,luxury,DEV_01922,197.210.139.0,UK,Lagos,2025-10-01 00:35:15,322,4,6510.875763651875,0.6,1,0,1
TXN_00303,CUST_1361,3454.08,NGN,purchase,mobile,luxury,DEV_01919,197.210.219.46,Ghana,Lagos,2025-10-01 00:37:58,1331,3,6793.177308472037,0.4,1,0,0
TXN_06688,CUST_0161,4332.72,NGN,purchase,ATM,electronics,DEV_03994,197.210.55.179,USA,Lagos,2025-10-01 00:40:25,786,4,6585.44180597691,0.44,1,0,1
TXN_07105,CUST_0566,6176.82,NGN,purchase,mobile,food,DEV_00425,197.210.40.149,Ghana,Lagos,2025-10-01 00:43:02,558,6,5322.298767578238,0.07,1,0,1
TXN_08166,CUST_0440,2221.95,NGN,withdrawal,ATM,clothing,DEV_03414,197.210.251.248,UK,Lagos,2025-10-01 00:45:14,1123,5,1000.0,0.34,1,0,1
TXN_07987,CUST_0498,5294.28,NGN,transfer,mobile,electronics,DEV_02371,197.210.84.169,Ghana,London,2025-10-01 00:51:04,575,1,3087.3447358872836,0.18,1,0,1
TXN_02468,CUST_0234,11022.94,NGN,transfer,mobile,transport,DEV_02070,197.210.72.47,UK,Port Harcourt,2025-10-01 00:51:28,185,0,4937.047353903012,0.28,1,0,1
TXN_06866,CUST_0879,18567.27,NGN,withdrawal,POS,electronics,DEV_00293,197.210.137.229,Ghana,Abuja,2025-10-01 00:53:40,1313,2,4588.076717700313,0.3,1,0,1
TXN_07264,CUST_0613,2995.17,NGN,withdrawal,web,airtime,DEV_04257,197.210.120.197,Ghana,London,2025-10-01 00:55:16,859,5,4948.37487677014,0.31,1,0,1
TXN_07096,CUST_1658,4787.05,NGN,purchase,mobile,groceries,DEV_04742,197.210.96.208,USA,Port Harcourt,2025-10-01 01:03:32,929,7,5980.375256675563,0.17,1,0,1
TXN_05293,CUST_0843,2555.96,NGN,transfer,web,transport,DEV_03383,197.210.152.45,Nigeria,Lagos,2025-10-01 01:04:31,627,1,4823.004047128608,0.52,0,0,0
TXN_06285,CUST_1564,8165.98,NGN,transfer,POS,transport,DEV_00160,197.210.166.123,USA,Accra,2025-10-01 01:10:42,1451,4,6435.299054977785,0.37,1,0,1
TXN_08495,CUST_0240,9098.44,NGN,transfer,POS,groceries,DEV_03969,197.210.67.125,Ghana,London,2025-10-01 01:11:42,949,3,7026.331347613636,0.13,1,0,1
TXN_01661,CUST_0169,6176.87,NGN,transfer,mobile,transport,DEV_04036,197.210.47.77,Nigeria,Lagos,2025-10-01 01:12:57,861,1,6411.088934924318,0.26,0,0,0
TXN_04051,CUST_0904,6483.47,NGN,transfer,ATM,food,DEV_03070,197.210.60.184,Ghana,Abuja,2025-10-01 01:13:24,306,4,5016.424353856824,0.21,1,0,0
TXN_06923,CUST_0489,17266.51,NGN,transfer,POS,airtime,DEV_01628,197.210.174.249,USA,Accra,2025-10-01 01:14:25,90,5,7341.336645827356,0.24,1,1,0
TXN_05484,CUST_0686,15264.35,NGN,withdrawal,mobile,betting,DEV_03752,197.210.189.229,Nigeria,London,2025-10-01 01:17:50,347,7,2140.680428655775,0.3,0,0,0
TXN_04253,CUST_1683,1406.97,NGN,withdrawal,POS,luxury,DEV_02092,197.210.48.138,Nigeria,Port Harcourt,2025-10-01 01:19:13,847,4,6157.533851215398,0.25,0,0,0
TXN_05584,CUST_1351,7685.78,NGN,purchase,ATM,food,DEV_04078,197.210.63.99,USA,Abuja,2025-10-01 01:23:13,989,3,5104.362793244264,0.26,1,0,1
TXN_08064,CUST_1309,4276.96,NGN,withdrawal,POS,groceries,DEV_04648,197.210.253.183,Nigeria,Lagos,2025-10-01 01:24:09,494,4,11421.948501083974,0.42,0,0,0
TXN_05706,CUST_1351,2584.72,NGN,transfer,POS,airtime,DEV_02075,197.210.251.224,USA,London,2025-10-01 01:25:18,1208,1,4552.4475483287,0.44,1,0,1
TXN_07665,CUST_0255,2607.04,NGN,withdrawal,mobile,luxury,DEV_03339,197.210.170.126,USA,London,2025-10-01 01:25:22,39,2,7934.325985846537,0.26,1,1,1
TXN_02334,CUST_1455,1377.4,NGN,withdrawal,web,groceries,DEV_04352,197.210.75.237,USA,Abuja,2025-10-01 01:28:07,622,4,3598.4217949875924,0.33,1,0,0
TXN_04400,CUST_1967,697.86,NGN,transfer,ATM,betting,DEV_03876,197.210.52.245,Ghana,Abuja,2025-10-01 01:28:09,855,3,6107.323942810776,0.38,1,0,1
TXN_00320,CUST_1760,5624.49,NGN,transfer,ATM,luxury,DEV_00843,197.210.59.116,Ghana,Accra,2025-10-01 01:29:46,553,5,7429.947022584474,0.42,1,0,1
TXN_03908,CUST_0545,101.33,NGN,purchase,web,betting,DEV_03593,197.210.7.138,UK,London,2025-10-01 01:35:52,352,10,6949.078992803173,0.28,1,0,1
TXN_02031,CUST_1823,1447.19,NGN,withdrawal,web,luxury,DEV_02513,197.210.191.115,Ghana,Lagos,2025-10-01 01:37:08,1341,4,7120.371332648647,0.33,1,0,1
TXN_05095,CUST_0421,9356.84,NGN,purchase,POS,electronics,DEV_01063,197.210.38.22,Nigeria,London,2025-10-01 01:40:36,1326,5,2326.500463908649,0.61,0,0,0
TXN_01791,CUST_1932,299.62,NGN,purchase,web,clothing,DEV_01999,197.210.70.8,Ghana,Port Harcourt,2025-10-01 01:47:22,1073,5,8894.513477328564,0.38,1,0,1
TXN_06588,CUST_1314,7714.84,NGN,withdrawal,web,food,DEV_04044,197.210.103.118,Nigeria,Accra,2025-10-01 01:52:10,423,4,3256.8840342930253,0.42,0,0,0
TXN_04886,CUST_1563,-705.67,NGN,withdrawal,web,electronics,DEV_02503,197.210.173.3,Ghana,Abuja,2025-10-01 01:54:49,741,2,6223.55208747619,0.43,1,0,1
TXN_00233,CUST_0165,7102.85,NGN,transfer,ATM,airtime,DEV_04402,197.210.201.65,Ghana,Abuja,2025-10-01 02:01:24,657,1,2572.116587685234,0.05,1,0,1
TXN_05336,CUST_1525,9408.49,NGN,transfer,web,airtime,DEV_01042,197.210.26.140,Ghana,Lagos,2025-10-01 02:03:19,1111,4,8436.512201177728,0.33,1,0,1
TXN_03288,CUST_1493,6299.24,NGN,purchase,POS,luxury,DEV_01170,197.210.211.87,Nigeria,Accra,2025-10-01 02:05:34,67,1,1570.640249659064,0.53,0,0,0
TXN_02986,CUST_1230,4711.88,NGN,withdrawal,mobile,groceries,DEV_02263,197.210.84.119,UK,Abuja,2025-10-01 02:06:08,1258,8,2792.8855955355225,0.35,1,0,1
TXN_01981,CUST_1604,-122.0,NGN,purchase,web,luxury,DEV_03348,197.210.161.50,Ghana,Lagos,2025-10-01 02:07:34,779,4,4616.815488064977,0.57,1,0,1
TXN_09046,CUST_1010,14550.88,NGN,purchase,POS,groceries,DEV_03921,197.210.202.173,Ghana,London,2025-10-01 02:17:39,1280,2,8723.14140870446,0.42,1,0,1
TXN_05405,CUST_1541,6215.43,NGN,purchase,POS,groceries,DEV_01041,197.210.255.132,Ghana,London,2025-10-01 02:21:56,1406,3,6355.642315253774,0.29,1,0,0
TXN_06000,CUST_0683,11768.53,NGN,transfer,web,groceries,DEV_00990,197.210.241.2,Nigeria,Lagos,2025-10-01 02:24:08,1323,5,3341.835003306238,0.02,0,0,0
